"GEO_ID","id",
"NAME","Geographic Area Name",
"B09002_001E","Estimate!!Total",
"B09002_001M","Margin of Error!!Total",
"B09002_002E","Estimate!!Total!!In married-couple families",
"B09002_002M","Margin of Error!!Total!!In married-couple families",
"B09002_003E","Estimate!!Total!!In married-couple families!!Under 3 years",
"B09002_003M","Margin of Error!!Total!!In married-couple families!!Under 3 years",
"B09002_004E","Estimate!!Total!!In married-couple families!!3 and 4 years",
"B09002_004M","Margin of Error!!Total!!In married-couple families!!3 and 4 years",
"B09002_005E","Estimate!!Total!!In married-couple families!!5 years",
"B09002_005M","Margin of Error!!Total!!In married-couple families!!5 years",
"B09002_006E","Estimate!!Total!!In married-couple families!!6 to 11 years",
"B09002_006M","Margin of Error!!Total!!In married-couple families!!6 to 11 years",
"B09002_007E","Estimate!!Total!!In married-couple families!!12 to 17 years",
"B09002_007M","Margin of Error!!Total!!In married-couple families!!12 to 17 years",
"B09002_008E","Estimate!!Total!!In other families",
"B09002_008M","Margin of Error!!Total!!In other families",
"B09002_009E","Estimate!!Total!!In other families!!Male householder, no wife present",
"B09002_009M","Margin of Error!!Total!!In other families!!Male householder, no wife present",
"B09002_010E","Estimate!!Total!!In other families!!Male householder, no wife present!!Under 3 years",
"B09002_010M","Margin of Error!!Total!!In other families!!Male householder, no wife present!!Under 3 years",
"B09002_011E","Estimate!!Total!!In other families!!Male householder, no wife present!!3 and 4 years",
"B09002_011M","Margin of Error!!Total!!In other families!!Male householder, no wife present!!3 and 4 years",
"B09002_012E","Estimate!!Total!!In other families!!Male householder, no wife present!!5 years",
"B09002_012M","Margin of Error!!Total!!In other families!!Male householder, no wife present!!5 years",
"B09002_013E","Estimate!!Total!!In other families!!Male householder, no wife present!!6 to 11 years",
"B09002_013M","Margin of Error!!Total!!In other families!!Male householder, no wife present!!6 to 11 years",
"B09002_014E","Estimate!!Total!!In other families!!Male householder, no wife present!!12 to 17 years",
"B09002_014M","Margin of Error!!Total!!In other families!!Male householder, no wife present!!12 to 17 years",
"B09002_015E","Estimate!!Total!!In other families!!Female householder, no husband present",
"B09002_015M","Margin of Error!!Total!!In other families!!Female householder, no husband present",
"B09002_016E","Estimate!!Total!!In other families!!Female householder, no husband present!!Under 3 years",
"B09002_016M","Margin of Error!!Total!!In other families!!Female householder, no husband present!!Under 3 years",
"B09002_017E","Estimate!!Total!!In other families!!Female householder, no husband present!!3 and 4 years",
"B09002_017M","Margin of Error!!Total!!In other families!!Female householder, no husband present!!3 and 4 years",
"B09002_018E","Estimate!!Total!!In other families!!Female householder, no husband present!!5 years",
"B09002_018M","Margin of Error!!Total!!In other families!!Female householder, no husband present!!5 years",
"B09002_019E","Estimate!!Total!!In other families!!Female householder, no husband present!!6 to 11 years",
"B09002_019M","Margin of Error!!Total!!In other families!!Female householder, no husband present!!6 to 11 years",
"B09002_020E","Estimate!!Total!!In other families!!Female householder, no husband present!!12 to 17 years",
"B09002_020M","Margin of Error!!Total!!In other families!!Female householder, no husband present!!12 to 17 years",
